portOfLading;portOfLadingRegion
Plymouth, United Kingdom;Northern Europe
Guanaja, Honduras;Central America
Aratu, Brazil;South America
Puerto De Sagunto, Spain;Western Europe
Zarate, Argentina;South America
Kardeljevo, Croatia;Southern Europe
Pasages, Spain;Southern Europe
Becancour, Que, Canada;North America
Thessalon, Ont, Canada;North America
Townsville, Australia;Australasia
Riga, Latvia;Eastern Europe
Dieppe, France;Western Europe
Aigion, Greece;Southern Europe
Iali, Greece;Southern Europe
All Other Nicaragua Caribbean Region Ports, Nicaragua;Central America
North Tees, United Kingdom;Northern Europe
Algoma, Ont, Canada;North America
All Moluccas Ports, Indonesia;South-Eastern Asia
Fiume, Croatia;Southern Europe
Linden, Guyana;South America
All Solomon Islands Ports, Solomon Islands;Melanesia
Clifton Pier, Bahamas;Caribbean
Rouen, France;Western Europe
Clarence Bay, Ascension Is, St. Helena;Western Africa
Hess Oil Term. St. Croix, Virgin Islands (U.S.);Caribbean
Itaqui, Brazil;South America
Ponta Da Madeira, Brazil;South America
Bandirma, Turkey;Western Asia
Ellesmere, United Kingdom;Northern Europe
Catania, Italy;Western Europe
All Other Italy West Coast Ports, Italy;Southern Europe
Limhamn, Sweden;Northern Europe
Manzanillo, Dominican Republic;Caribbean
San Jose, Guatemala;Central America
San Pedro De Macoris, Dominican Republic;Caribbean
La Romana, Dominican Republic;Caribbean
Tomakomai, Japan;Eastern Asia
Plymouth, United Kingdom;Western Europe
Shibenik, Croatia;Southern Europe
Batumi, Georgia;Eastern Europe
All Other Kuwait Ports, Kuwait;Western Asia
Murmansk, Russia;Eastern Europe
